salford lions,university of salford,119.5
durham defenders,durham university,115
staffordshire samba,staffordshire university,109
no roeetations,university of liverpool,109
uea kingfishers,university of east anglia,101
york pun name,university of york,101
uea bluejays,university of east anglia,95
uea bluejays,university of east anglia,91
nott in the ass,university of nottingham,85
loughborough lions,loughborough university,85
derbados,university of derby,75
yer course,liverpool john moores university,75
beckett bears,leeds beckett university,75
uob bushwackers,university of birmingham,65
lincoln a,university of lincoln,65
shakeele o neal,keele university,59
lanker a,lancaster university,55
couldnt care leic,university of leicester,50
bcu blue,birmingham city university,50
loughboomers,loughborough university,44
leeds gryphons,university of leeds,44
newcastle ninjas,newcastle university,44
durham durhamers,durham university,44
watt wyverns,heriot watt university,36
saltford v2,university of salford,36
better york pun name,university of york,36
durham demons,durham university,36
i dont know,nottingham trent university,29
qub monarchs,queens university belfast,29
staffs sasquatches,staffordshire university,29
manchester hive,university of manchester,29
the roybois,nottingham trent university,27
edinburgh eclipse rl,university of edinburgh,26
mmu minotaurs,manchester metropolitan university,26
teesside insurgency,teesside university,26
aston archangels,aston university,24
botts,university of nottingham,24
slugsss,university of sheffield,24
newcastle nobles,newcastle university,24
trent pegs,nottingham trent university,21
shuting stars,sheffield hallam university,21
staffordshire shifters,staffordshire university,21
mtw,university of lincoln,21
edge hill rl,edge hill university,19
abertay astronauts,university of abertay dundee,19
loughborough clangers,loughborough university,19
higgs bosons,university of leeds,19
leic is more,university of leicester,17
manchester bees,university of manchester,17
uea kiwis,university of east anglia,16
eboracum esports,york st john university,16
derb,university of derby,15
lboro dis and coke,loughborough university,15
trent salt collectors,nottingham trent university,14
bangor university team 2,bangor university,14
loughborough ive had one too many,loughborough university,13
nothing but trent,nottingham trent university,13
siiuuugs,university of sheffield,12
stags a,university of st andrews,12
i barely know her,bangor university,11
fit trent lads,nottingham trent university,11
staffordshire samurais,staffordshire university,10
skillleic,university of leicester,10
manchester hornets,university of manchester,9
even better better york pun name,university of york,9
newcastle nightmares,newcastle university,8
glasgow grizzlies,university of glasgow,8
glasgow grizzlies b,university of glasgow,7
team e loughborough,loughborough university,7
aston angels,aston university,6
net6 and chill,durham university,6
watt are you doing,heriot watt university,6
nobles,newcastle university,6
rocketayers,university of abertay dundee,5
even better york pun name,university of york,5
sheffield lions,university of sheffield,5
aston guardians,aston university,5
steven skeeleberg,keele university,4
qub white tigers,queens university belfast,4
gruea,university of east anglia,4
abertay aces,university of abertay dundee,3
uob pitstops,university of birmingham,3
all stars,university of lincoln,2
nott a save,university of nottingham,2
trenthehe,nottingham trent university,1
keele kings,keele university,1
loughborough f,loughborough university,0
trentboys,nottingham trent university,0
teesside team b,teesside university,0
manchester swarm,university of manchester,0
fc carcelona,university of sheffield,0
even betterer york pun name,university of york,0
clueleic,university of leicester,0
loughborough longshots,loughborough university,0
sheffield tricksters,university of sheffield,0
the trentlemen,nottingham trent university,0
bronze bois,university of leeds,0
beckett dtecs,leeds beckett university,0
the very best york pun name,university of york,0
ehu overcommit squad,edge hill university,0
uob snobs,university of birmingham,0
useleic,university of leicester,0
uea celestials,university of east anglia,0
